2025-12-30T21:49:34.838593178Z time="2025-12-30T21:49:34Z" level=info msg="Starting harvester-network-controller version v1.7.0"
2025-12-30T21:49:34.838627648Z time="2025-12-30T21:49:34Z" level=info msg="Set log level to info"
2025-12-30T21:49:34.838630053Z time="2025-12-30T21:49:34Z" level=info msg="namespace harvester-system threadiness 2 nodeName isim-dev helper-image rancher/harvester-network-helper:master-head"
2025-12-30T21:49:34.839248863Z W1230 21:49:34.839036       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2025-12-30T21:49:38.470449686Z time="2025-12-30T21:49:38Z" level=info msg="Do not update the existing CRD NetworkAttachmentDefinition"
2025-12-30T21:49:39.930488013Z time="2025-12-30T21:49:39Z" level=info msg="Start link monitor"
2025-12-30T21:49:40.224658792Z time="2025-12-30T21:49:40Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=ClusterNetwork controller"
2025-12-30T21:49:40.224682039Z time="2025-12-30T21:49:40Z" level=info msg="cluster network mgmt has been changed, vid hash: "
2025-12-30T21:49:40.225601769Z time="2025-12-30T21:49:40Z" level=info msg="cluster network mgmt will add 0 vlans, remove 0 vlans"
2025-12-30T21:49:40.225607569Z time="2025-12-30T21:49:40Z" level=info msg="Starting /v1, Kind=Node controller"
2025-12-30T21:49:40.225624695Z time="2025-12-30T21:49:40Z" level=info msg="Starting k8s.cni.cncf.io/v1, Kind=NetworkAttachmentDefinition controller"
2025-12-30T21:49:40.225634103Z time="2025-12-30T21:49:40Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=LinkMonitor controller"
2025-12-30T21:49:40.225692822Z time="2025-12-30T21:49:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2025-12-30T21:49:40.227737415Z time="2025-12-30T21:49:40Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=VlanConfig controller"
2025-12-30T21:49:40.227746814Z time="2025-12-30T21:49:40Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=VlanStatus controller"
2025-12-30T21:49:40.350557014Z time="2025-12-30T21:49:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2025-12-30T21:49:40.374463537Z time="2025-12-30T21:49:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2025-12-30T21:49:40.374507005Z time="2025-12-30T21:49:40Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2025-12-30T21:49:40.398461044Z time="2025-12-30T21:49:40Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2025-12-30T21:49:40.534278856Z time="2025-12-30T21:49:40Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2025-12-30T21:49:40.760877524Z time="2025-12-30T21:49:40Z" level=info msg="cluster network mgmt has been changed, vid hash: "
2025-12-30T21:49:40.760902574Z time="2025-12-30T21:49:40Z" level=info msg="cluster network mgmt will add 0 vlans, remove 0 vlans"
2025-12-30T21:50:35.065993395Z time="2025-12-30T21:50:35Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2025-12-30T21:50:35.066601185Z time="2025-12-30T21:50:35Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2025-12-30T21:50:35.090479598Z time="2025-12-30T21:50:35Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2025-12-30T21:50:35.095291514Z time="2025-12-30T21:50:35Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
