2025-12-30T21:49:37.838456258Z I1230 21:49:37.833151       1 feature_gate.go:385] feature gates: {map[]}
2025-12-30T21:49:37.838493383Z I1230 21:49:37.833233       1 main.go:181] "Version" version="v8.3.0"
2025-12-30T21:49:37.838510597Z I1230 21:49:37.833449       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2025-12-30T21:49:37.838516690Z I1230 21:49:37.833465       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2025-12-30T21:49:37.838518433Z I1230 21:49:37.833468       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
2025-12-30T21:49:37.838520056Z I1230 21:49:37.833471       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2025-12-30T21:49:37.838521820Z I1230 21:49:37.833473       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2025-12-30T21:49:37.838523674Z I1230 21:49:37.834670       1 main.go:232] Start NewCSISnapshotController with kubeconfig [] resyncPeriod [15m0s]
2025-12-30T21:49:38.026428987Z I1230 21:49:38.019958       1 leaderelection.go:257] attempting to acquire leader lease kube-system/snapshot-controller-leader...
2025-12-30T21:49:38.121403697Z E1230 21:49:38.120668       1 leaderelection.go:440] error initially creating leader election record: leases.coordination.k8s.io "snapshot-controller-leader" already exists
2025-12-30T21:49:38.130456514Z I1230 21:49:38.126860       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:49:46.506680217Z I1230 21:49:46.506591       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:49:46.506699809Z I1230 21:49:46.506610       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:49:46.506704417Z I1230 21:49:46.506629       1 leader_election.go:202] "New leader detected" leader="snapshot-controller-8b5bf4d55-hmjk2"
2025-12-30T21:49:55.439800120Z I1230 21:49:55.439690       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:49:55.439844174Z I1230 21:49:55.439708       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:05.363874404Z I1230 21:50:05.363758       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:05.363900168Z I1230 21:50:05.363792       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:12.377073853Z I1230 21:50:12.376957       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:12.377106321Z I1230 21:50:12.376975       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:18.076513399Z I1230 21:50:18.076369       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:18.076527613Z I1230 21:50:18.076386       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:23.718634914Z I1230 21:50:23.718549       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:23.718660078Z I1230 21:50:23.718565       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:29.983974192Z I1230 21:50:29.983850       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:29.984001451Z I1230 21:50:29.983870       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:40.000754758Z I1230 21:50:39.998934       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:40.000778047Z I1230 21:50:39.998952       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:48.327232695Z I1230 21:50:48.327145       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:48.327256521Z I1230 21:50:48.327164       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:50:57.062858110Z I1230 21:50:57.062745       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:50:57.062881610Z I1230 21:50:57.062760       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:51:05.018559692Z I1230 21:51:05.018384       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:51:05.018592240Z I1230 21:51:05.018407       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:51:11.569512442Z I1230 21:51:11.569321       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:51:11.569566610Z I1230 21:51:11.569339       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:51:19.784899440Z I1230 21:51:19.784808       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:51:19.784927391Z I1230 21:51:19.784823       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:51:30.389219227Z I1230 21:51:30.389122       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:51:30.389252579Z I1230 21:51:30.389138       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:51:36.374053404Z I1230 21:51:36.373924       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:51:36.374077660Z I1230 21:51:36.373940       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
